Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-06-03,BAC,40.040000915527344,40.189998626708984,39.36000061035156,39.880001068115234,39.638912200927734,31898600
2024-06-04,BAC,39.619998931884766,40.13999938964844,39.41999816894531,39.68000030517578,39.440120697021484,26974200
2024-06-05,BAC,39.81999969482422,39.9900016784668,39.52000045776367,39.959999084472656,39.71842575073242,34140300
2024-06-06,BAC,39.90999984741211,40.0,39.41999816894531,39.70000076293945,39.459999084472656,38676400
2024-06-07,BAC,39.279998779296875,39.959999084472656,39.279998779296875,39.779998779296875,39.779998779296875,25928700
2024-06-10,BAC,39.58000183105469,39.84000015258789,39.209999084472656,39.66999816894531,39.66999816894531,37182700
2024-06-11,BAC,39.33000183105469,39.349998474121094,38.459999084472656,38.86000061035156,38.86000061035156,44629000
2024-06-12,BAC,39.79999923706055,39.880001068115234,39.099998474121094,39.40999984741211,39.40999984741211,38964700
2024-06-13,BAC,39.290000915527344,39.349998474121094,38.93000030517578,39.2599983215332,39.2599983215332,40018700
2024-06-14,BAC,39.099998474121094,39.47999954223633,38.90999984741211,39.2400016784668,39.2400016784668,32347900
2024-06-17,BAC,39.09000015258789,39.529998779296875,38.97999954223633,39.5099983215332,39.5099983215332,26135400
2024-06-18,BAC,39.560001373291016,40.02000045776367,39.459999084472656,39.9900016784668,39.9900016784668,30804500
2024-06-20,BAC,39.779998779296875,40.310001373291016,39.75,39.9900016784668,39.9900016784668,29383300
2024-06-21,BAC,39.849998474121094,39.90999984741211,39.369998931884766,39.4900016784668,39.4900016784668,72251500
2024-06-24,BAC,39.77000045776367,40.34000015258789,39.650001525878906,40.02000045776367,40.02000045776367,31064900
2024-06-25,BAC,39.779998779296875,40.06999969482422,39.349998474121094,39.380001068115234,39.380001068115234,30928600
2024-06-26,BAC,39.16999816894531,39.349998474121094,38.470001220703125,39.0,39.0,44310200
2024-06-27,BAC,38.70000076293945,39.349998474121094,38.34000015258789,39.25,39.25,29464200
2024-06-28,BAC,39.7400016784668,40.060001373291016,39.31999969482422,39.77000045776367,39.77000045776367,52028200
2024-07-01,BAC,39.90999984741211,40.34000015258789,39.66999816894531,40.0099983215332,40.0099983215332,26770500
2024-07-02,BAC,40.0,40.959999084472656,39.959999084472656,40.93000030517578,40.93000030517578,35626100
2024-07-03,BAC,41.02000045776367,41.20000076293945,40.75,40.900001525878906,40.900001525878906,17100700
2024-07-05,BAC,40.93000030517578,40.959999084472656,40.290000915527344,40.40999984741211,40.40999984741211,23475000
